iso,country_name,year,region,state_legit,rule_of_law,gov_effectiveness,gdp,donor,sids
MYS,Malaysia,2008,Southeast Asia,4.1,0.3449331,1.108519,8.073934416,1,0
NPL,Nepal,2008,South Asia,1.6999999999999993,-0.6734937,-0.8005978,0.6764507099,0,0
NZL,New Zealand,2008,Oceania,8.9,1.862746,1.6780869999999999,35.666190199999996,1,0
PAK,Pakistan,2008,South Asia,0.5,-0.968671,-0.7237100999999999,1.239420494,0,0
PHL,Philippines,2008,Southeast Asia,1.6999999999999993,-0.5456504,0.016421,2.309726212,0,0
PNG,Papua New Guinea,2008,Oceania,2.2,-0.9159881,-0.6948548000000001,1.991372961,0,1
SGP,Singapore,2008,Southeast Asia,6,1.606087,2.436975,44.52602174,1,1
SLB,Solomon Islands,2008,Oceania,1.3000000000000007,-0.6368995,-0.9970134,1.9763151440000002,0,1
THA,Thailand,2008,Southeast Asia,2.3,-0.1402466,0.2205064,4.884417785,1,0
TJK,Tajikistan,2008,Central and West Asia,0.8000000000000007,-1.285771,-1.072905,0.7392625749999999,0,0
TKM,Turkmenistan,2008,Central and West Asia,1.3000000000000007,-1.471751,-1.424742,3.794922165,0,0
TLS,Timor-Leste,2008,Southeast Asia,1,-1.046781,-1.047847,1.0201040080000001,0,1
UZB,Uzbekistan,2008,Central and West Asia,0.6999999999999993,-1.166035,-0.8726988000000001,1.9178493719999998,0,0
VNM,Viet Nam,2008,Southeast Asia,2.8,-0.4651269,-0.2121504,1.4988383650000001,0,0
WSM,Samoa,2008,Oceania,3.3,0.7890798000000001,0.16404860000000002,4.329372926,0,1
AFG,Afghanistan,2009,South Asia,0.1999999999999993,-1.8470919999999997,-1.483899,0.4728422916,0,0
ARM,Armenia,2009,Central and West Asia,2.9000000000000004,-0.47585200000000005,-0.029734800000000002,2.88433947,0,0
AUS,Australia,2009,Oceania,8.6,1.740398,1.705787,53.22595104,1,0
AZE,Azerbaijan,2009,Central and West Asia,1.8000000000000007,-0.8799943000000001,-0.6581194,5.023790764999999,0,0
BGD,Bangladesh,2009,South Asia,1.5,-0.7855525999999999,-0.7912479,0.9319865061,0,0
BRN,Brunei Darussalam,2009,Southeast Asia,2.0999999999999996,0.7886911,0.9180716999999998,32.99182358,1,0
BTN,Bhutan,2009,South Asia,2.5999999999999996,0.21322080000000002,0.49482029999999994,2.017903478,0,0
CHN,People's Republic of China,2009,East Asia,1.5,-0.4070508,0.0938044,5.128895067999999,1,0
FJI,Fiji,2009,Oceania,1.4000000000000004,-0.7710723,-0.9101736999999999,4.4258480239999995,0,1
FSM,Federated States of Micronesia,2009,Oceania,3.4000000000000004,0.041141000000000004,-0.7092258,3.014985957,0,1
